1 2 9 1981 0 1 3 -3 -3 -3 1 16 8 16 8 4 -4 -4 -4 -4 -4 -4 -4 -4 4 4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 2 16 15 1 0 -4 -4 -4 0 -4 -4 1 -4 8000 -4 -4 -4 8 1 1 1 0 0 1 0 0 0 -4 1 0 0 0 0 0 1 0 0 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 1 5 -3 3 -4 -4 -4 -4 -4 -4 -4 -4 0 -3 128000 505 2 2 2 2 6 4 8 1
2 1 7 1982 1 5 -4 -4 -4 -4 1 17 15 14 15 2 13 -4 -4 10 -4 -4 -4 -4 4 -4 -4 4 -4 -4 -4 2 -4 2 -4 -4 1 0 13 13 0 -4 -4 -4 -4 0 -4 -4 1 -4 -2 1 -4 -4 10 1 1 0 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 1 1 0 0 -2 -4 -4 -4 -4 -4 -4 -4 -4 4 4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -3 -3 2 2 2 2 6 4 8 1
3 2 9 1983 1 5 1 63000 10200 583 1 -3 12 -4 12 2 10 -4 -4 -4 2 4 1 0 2 -4 -4 -4 300 325 300 2 2 -4 1 -4 1 1 14 14 0 -4 -4 -4 -4 0 -4 -4 1 -4 24000 -4 -4 -4 6 1 1 1 0 0 1 0 0 0 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 1 0 1 1 0 1 1 3 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -3 -3 99000 715 3 2 -4 -4 -4 -4 -4 -4
4 2 2 1981 1 5 3 11700 -1500 108 1 12 12 -4 12 2 -4 -4 -4 -4 -4 -4 -4 -4 4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 1 12 12 0 -4 -4 -4 -4 0 -4 -4 1 -4 -2 3 -2 4 8 1 1 0 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 55000 386 2 2 2 2 9 5 3 2
5 1 10 1982 1 1 3 -3 -3 -3 1 12 12 12 12 2 11 11 -4 -4 -4 -4 -4 -4 3 3 -4 -4 200 500 300 2 -4 2 -4 -4 5 3 12 12 1 14 1 -4 -4 0 -4 -4 1 -4 13000 -4 -4 -4 6 1 1 1 0 0 0 0 0 1 20 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 3 3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 70500 386 2 2 2 2 9 2 16 2
6 2 1 1982 1 5 1 -3 7500 -3 1 -3 12 -4 12 2 9 -4 -4 1 -4 -4 -4 -4 2 -4 -4 1 500 625 100 1 4 -4 -4 -4 1 0 13 13 0 -4 -4 -4 -4 0 -4 -4 0 -4 -4 -4 -4 -4 7 1 1 0 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 3 -2 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 2 2 2 2 9 5 3 2
7 1 4 1983 1 5 1 -3 7500 -3 1 -3 12 -4 12 2 8 -4 -4 -4 4 3 0 0 4 -4 -4 -4 500 450 0 1 -4 1 -4 1 0 0 11 11 0 -4 -4 -4 -4 0 -4 -4 0 -4 -4 -4 -4 -4 8 1 1 1 0 0 0 0 0 1 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 1 0 1 0 0 1 1 3 3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -3 -3 0 0 2 2 9 5 3 2
8 2 6 1981 0 1 3 -3 -3 -3 1 6 12 6 12 4 -4 -4 -4 -4 -4 -4 -4 -4 2 2 -4 -4 500 -4 -4 -4 -4 -4 -4 -4 0 0 16 15 1 30 10 -4 -4 0 -4 -4 1 -4 3000 -4 -4 -4 6 4 1 1 0 1 1 0 0 0 -4 1 0 1 0 0 0 0 1 0 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 3 3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 86000 471 2 2 2 2 9 5 3 2
9 1 10 1982 0 1 3 -3 -3 -3 1 6 12 6 12 4 11 10 -4 -4 -4 -4 -4 -4 2 2 -4 -4 500 100 200 2 -4 2 -4 -4 0 0 15 14 1 2 0 -4 -4 0 -4 -4 0 -4 -4 -4 -4 -4 7 1 1 1 0 1 1 0 0 0 -4 1 0 1 0 0 0 0 0 0 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 3 3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 0 0 2 2 2 2 9 5 3 2
10 1 3 1984 0 1 3 -3 -3 -3 1 6 12 6 12 4 14 15 -4 -4 1 4 0 0 4 4 -4 -4 500 200 200 2 -4 0 -4 0 1 0 13 12 0 -4 -4 -4 -4 0 -4 -4 0 -4 -4 -4 -4 -4 6 1 1 1 0 1 0 0 0 0 -4 1 0 1 0 0 0 0 0 0 0 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 3 3 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -3 -3 5000 27 2 2 2 2 9 5 3 2
